pk,sk,assigned_cohort,fee,status,accept_reject_date,amount_to_be_paid,transaction_id,payment_status,i_agree_to_terms_and_conditions_of_global_shala,modified_at,apply_date,from_where_did_you_hear_about_us,accept_reject_reason,category,not_started_date,cohort_p2,cohort_p1,relation_id,reward_awarded_date,completion_date,withdraw_reason,team_name,team_code,application_id,i_have_read_and_agreed_to_the_terms_and_conditions,team_creator,send_for_approval_mechanism_t_c,please_identify_your_student_status,i_understand_that_i_will_have_to_commit_at_least56_hours_each_w,why_do_you_want_to_apply_for_this_internship1,i_will_be_available_from79_pm_ist730930_am_cst_for_meetings_onc,from_which_medium_did_you_hear_about_the_internship,why_do_you_want_to_apply_for_this_internship,withdraw_date,created_at,external_reference_url,work_item_sk,i_understand_that_this_is_the_first_step_towards_my_application,how_did_you_hear_about_this_opportunity,can_you_share_an_experience_where_you_proactively_pursued_learn,dropped_out_date,appear_in_wishlist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learner#e84aea65-34d3-440a-bf04-f877d3bc5ce2,Learner#0000000010AAZ3M4BW98HVWKKD,,,1020,1694067893179,100,,unpaid,TRUE,1694067893204,2023-09-07T06:24:10.049Z,Illinois Institute of Technology,df,,,,BV3TLOW,,,,,,,,,,,,,,,,,,1694067850049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learner#c86f0318-f6be-46a1-8028-b91b71d1ff91,Learner#0000000010ABB1YKVRHQXC7AEF,BXPGYUA,,1070,1743406673360,0,,unpaid,,1743406673535,2025-03-31T07:37:52.660Z,Saint Louis University,This is an auto approved opportunity,,,,BXPGYUA,,,,,,,yes yes yes,TRUE,,,,,,,,yes yes yes,,1743406672660,,WorkItem#0000000010DNDPZFHVMZQV5PY5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learner#823ea2cd-9e2b-4253-aad4-a581b462da3b,Learner#0000000010HXWTFN6KWTHTRSGX,,,1010,,0,,unpaid,TRUE,1741682304800,2025-03-11T08:38:24.800Z,Northeastern University,,,,,BR3F85M,,,,,,,,,,,,,,,,,,1741682304800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learner#791c1c74-53b4-457e-b13e-38df4e6c3d35,Learner#0000000010JPWFAN33SABZBFMF,B1OB023,,1070,1756391556714,0,,unpaid,,1762411604833,2025-08-28T14:29:30.318Z,Illinois Institute of Technology,Candidate meets all requirements,,,,B1OB023,,,,,,,,TRUE,,,,,,,,12345678,,1756391370318,,WorkItem#0000000010FFHYP7XHWRVG1AM0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learner#,Learner#00000000101R95676SAMGFJBJX,,0,,,,,,,1698318873581,,,,Event,,,,,,,,,,,,,,,,,,,,,1698318873581,,,,,,,"'""is_frozen'"":'""false'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learner#af27e259-1abc-4ae4-a20c-7728b11fe454,Learner#0000000010X2NQFSDGXC95E6D8,,,1010,,0,,unpaid,,1691591055268,2023-08-09T14:24:15.268Z,Social Media,,,,,BHGJG1A,,,,,,,,TRUE,,,,,,,,For Experience ,,1691591055268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learner#,Learner#0000000010B1J33CVMS7AAXWYE,,0,,,,,,,1695812090277,,,,Competition,,,,,,,,,,,,,,,,,,,,,1695812090277,,,,,,,"'""is_frozen'"":'""false'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learner#e1b4c0bf-cc1b-4226-b2b5-ec77d212f301,Learner#0000000010BA0CYAT1PA7YBSXD,,,1040,1759821529235,0,,unpaid,,1759821529394,2025-10-07T07:18:48.566Z,Illinois Institute of Technology,This is an auto approved opportunity,,,,BTB3TZ6,,,,,,,,TRUE,,,,,,,,Why do you want to apply for this Internship? *,,1759821528567,,WorkItem#00000000108QHF1B1YN24V77ZV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learner#7ddb49b8-71e7-43ba-89de-ba5564db97ff,Learner#00000000101RFCSC7EVCY81YJV,,,1010,,0,,unpaid,,1727078576924,2024-09-23T08:02:56.924Z,Illinois Institute of Technology,,,,,B4D246B,,,,,Team Compete 1727078543152,TM0QTGU,1.11111E+17,TRUE,,automatic,,,,,,,,1727078576924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learner#214f8fe1-931e-4da8-b485-1a5633833368,Learner#00000000105TYBRM280QBP1FRA,BQC4NYV,,1120,1688032907451,0,,unpaid,,1688033036495,2023-06-29T10:01:02.999Z,Social Media,hfgch,,,,BQC4NYV,,1688033036295,1688033036295,,,,,TRUE,,,,,,,,hm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learner#998a6f6b-cc30-411b-9d2d-d2f50958be23,Learner#0000000010HY5RB6KMQCX2XNN5,,,1020,1733820692335,10,,unpaid,,1733820692400,2024-12-10T08:50:57.833Z,My Friend/Relative,aaa,,,,BM0OUJ5,,,,,,,,TRUE,,,,,,,,199999,,1733820657834,http://localhost:4200/projects/external?category=Internship&isFilterByEligibility=0,WorkItem#0000000010QDQ2ARP03PMAXCGV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learner#,Learner#0000000010NRVRQHSTTCCZ5ZBZ,,0,,,,,,,1695315266301,,,,Career,,,,,,,,,,,,,,,,,,,,,1695315266301,,,,,,,"{'""code'"":'""Q5WOL8C'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learner#,Learner#00000000101RFCSC7EVCY81YJV,,0,,,,,,,1733833772110,,,,Competition,,,,,,,,,,,,,,,,,,,,,1727070056135,,WorkItem#00000000100GKJ8PEY98SWW1DX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learner#55413164-e880-419d-8b3d-9ebe12c88cd7,Learner#0000000010775K4Z3YP2S8XBAV,BWHNXHR,,1055,1697606711635,0,,unpaid,,1698058840854,2023-10-18T05:25:11.410Z,Illinois Institute of Technology,This is an auto approved opportunity,,1698058840653,BR9D56G,BWHNXHR,,,,,,,,TRUE,,,,,,,,df,,1697606711410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learner#182b00e9-b690-48b9-885e-d083d6cc03e9,Learner#0000000010GA4ZD2V25X09WD7H,BK7RVCI,,1070,1765365813864,0,,unpaid,,1765365922698,2025-12-10T11:23:30.088Z,Illinois Institute of Technology,This is an auto approved opportunity,,,,BK7RVCI,,,,,,,,TRUE,,,,,,,,Apply,,1765365810088,,WorkItem#00000000106FKD28YJ59HWDZR9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learner#e84aea65-34d3-440a-bf04-f877d3bc5ce2,Learner#0000000010JRGQVNYQSRYQKXD3,,,1030,1699017328525,0,,unpaid,,1699017328546,2023-10-26T17:04:34.948Z,Illinois Institute of Technology,aa,,,,B8ZJGS7,,,,,,,,TRUE,,,,,,,,q,,1698339874949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Opportunity,Learner#0000000010WBN82ZHNDXSXVSCQ,,,,,,,,,1688098505213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learner#35596f45-67d4-4d3b-befe-741ba15f942a,Learner#0000000010CTEE61G6DY9D6SQJ,,,1110,1713451015557,10,,unpaid,,1715761974963,2024-04-18T06:32:54.795Z,GlobalShala Website,done,,,,BT4A330,,,,dfgasdf,,,,TRUE,,,,,,,,to learn,1715761974962,1713421974795,,WorkItem#0000000010BFBNSYM75DRSZWYV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learner#6f39a383-aa51-4642-8995-61e49649f6d8,Learner#0000000010JJSBB0XZW13872YB,,,1010,,0,,unpaid,TRUE,1737632638126,2025-01-23T11:43:58.126Z,Hiring Platforms,,,,,BJMKSL7,,,,,,,,,,,,,,,,,,1737632638126,http://localhost:4200/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learner#,Learner#00000000101S2N9APTN9JMTA30,,0,,,,,,,1708588952295,,,,Career,,,,,,,,,,,,,,,,,,,,,1708588811868,,WorkItem#0000000010A93RFWB9H6R7P185,,,,,"'""question'"":'""Additional Notes'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learner#6f39a383-aa51-4642-8995-61e49649f6d8,Learner#000000001074YQ3EG84DE00281,,,1030,1750303777779,0,,unpaid,,1750303777813,2024-11-08T10:46:16.882Z,GlobalShala Website,Lack of clarity regarding skills for the internship.,,,,BMDOZZT,,,,,,,,TRUE,,,,,,,,dada,,1731062776882,http://localhost:4200/projects/external?category=Internship&isFilterByEligibility=0&tab=1,WorkItem#00000000101PGH3KYHZV8C7ADK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learner#8d4c12bb-211d-459f-8b2d-653095f9b529,Learner#0000000010WBZX95HDCJJXB2T5,,,1020,1709213484145,1,,unpaid,TRUE,1709213484156,2024-02-29T13:30:31.787Z,Social Media,Accepted by automation,,,,BB49L7O,,,,,,,,,,,,,,,,,,1709213431787,,WorkItem#0000000010BER26DW0JKDBTD4F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learner#44e622dc-ad15-42e2-b511-1baeb9c340e1,Learner#000000001075B0E2ABKJ2ADG47,BNZDFUW,,1070,1695350495533,0,,unpaid,,1695350497188,2023-09-22T02:41:13.872Z,Illinois Institute of Technology,Accepted by automation,,,,BNZDFUW,,,,,,,111111,TRUE,,,,,,,,,,1695350473872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learner#44e622dc-ad15-42e2-b511-1baeb9c340e1,Learner#0000000010WC50DPJ8A5M49960,BIAVPFN,,1120,1691405159314,0,,unpaid,TRUE,1691406864365,2023-08-07T10:45:45.569Z,Social Media,Accepted by automation,,,,BIAVPFN,,1691406864005,1691406864005,,,,,,,,,,,,,,,1691405145570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learner#a4809839-e24b-4817-ac33-05ffdbbf3abd,Learner#00000000103P0PFHBBNBCBFSNT,BSADMNG,,1070,1743066142297,100,,paid,,1743066212783,2025-03-27T09:01:38.835Z,Social Media,Accepted by automation,,,,BSADMNG,,,,,,,,TRUE,,,,,,,,Apply,,1743066098835,,WorkItem#0000000010E9NKAHT18KQX5B0J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learner#fcf7c7e4-0560-4d4d-8db7-ce9044d0bc6e,Learner#0000000010CTEE61G6DY9D6SQJ,,,1030,1715077877591,10,,unpaid,,1715077877693,2024-04-17T06:17:45.599Z,GlobalShala Website,jnnj,,,,BT4A330,,,,,,,,TRUE,,,,,,,,xx,,1713334665600,,WorkItem#0000000010KX2VXX5ZKTSEVB5D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learner#,Learner#0000000010SXHN1E6137ZTX2C6,,0,,,,,,,1727612241967,,,,Career,,,,,,,,,,,,,,,,,,,,,1727612241967,,WorkItem#0000000010R4ZPKJZGVACETZ6J,,,,,"{'""serial_number'"":'""0'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learner#7ddb49b8-71e7-43ba-89de-ba5564db97ff,Learner#0000000010WC9N3A0GBPAPXDV3,BFUV2EX,,1070,1700309399742,0,,unpaid,,1700309401686,2023-11-18T12:09:12.690Z,Social Media,Accepted by automation,,,,BFUV2EX,,,,,,,,TRUE,,,,,,,,Applying from cypress automation testing.,,1700309352690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learner#,Learner#00000000101SJTSARJS4YVFVQ3,,0,,,,,,,1687535301451,,,,Internship,,,,,,,,,,,,,,,,,,,,,1687535301451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learner#7ddb49b8-71e7-43ba-89de-ba5564db97ff,Learner#0000000010WC50DPJ8A5M49960,,,1030,1696503989294,0,,unpaid,TRUE,1696503989323,2023-10-01T11:48:49.449Z,Illinois Institute of Technology,Rejecting,,,BCU7CWM,BZMP49J,,,,,,,,,,,,,,,,,,1696160929449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learner#44e622dc-ad15-42e2-b511-1baeb9c340e1,Learner#0000000010760NEFAGJDQWDYFV,,,1010,,0,,unpaid,,1695351230782,2023-09-22T02:53:50.782Z,Social Media,,,,,B79RKEH,,,,,Team Compete 1695351179314,TUA14ST,111111,TRUE,,automatic,,,,,,,,1695351230782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learner#e84aea65-34d3-440a-bf04-f877d3bc5ce2,Learner#0000000010775K4Z3YP2S8XBAV,BR9D56G,,1070,1697606466869,0,,unpaid,,1697606466963,2023-10-18T05:21:06.518Z,Illinois Institute of Technology,This is an auto approved opportunity,,,,BR9D56G,,,,,,,,TRUE,,,,,,,,df,,1697606466518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learner#44e622dc-ad15-42e2-b511-1baeb9c340e1,Learner#00000000100H3Q182SJXTAZF62,B2M0E1S,,1120,1692900044683,0,,unpaid,TRUE,1692940291094,2023-08-24T18:00:28.571Z,Social Media,Accepted by automation,,,,B2M0E1S,,1692940290734,1692940290734,,,,,,,,,,,,,,,1692900028571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learner#791c1c74-53b4-457e-b13e-38df4e6c3d35,Learner#000000001083N966QJ1XBB0CTY,BIV1ZEX,,1070,1743682746044,0,,unpaid,,1743682746285,2025-04-03T12:19:05.128Z,Saint Louis University,This is an auto approved opportunity,,,,BIV1ZEX,,,,,,,yes yes yes,TRUE,,,,,,,,yes yes yes,,1743682745128,,WorkItem#0000000010PK8YDZFBQEHRVA00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
